scene,start,end,segment_type,visual,source,source_audio,bgm,status
"06","05:53.467","06:53.633","channel-explanation","시험장에서는 왜 첫 줄부터 안 나올까?","original-motion-canvas","full-balanced-v5-tts","continuous-selected-not-acquired","measured-tts-v5"
"06","05:53.467","05:55.467","meme-overlay","자체 밈 연출 (설명 구간과 겹침)","sources/MEMES.md","no-borrowed-meme-audio","continuous-selected-not-acquired","overlays-explanation-do-not-add-duration"
"07","06:53.633","07:00.133","real-example","Professional Tetris Gameplay","https://www.youtube.com/watch?v=lt1Lal2gh_E @ 54s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
"07","07:00.133","07:06.633","real-example","Professional Tetris Gameplay","https://www.youtube.com/watch?v=lt1Lal2gh_E @ 84s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
"07","07:06.633","07:13.133","real-example","Professional Tetris Gameplay","https://www.youtube.com/watch?v=lt1Lal2gh_E @ 320s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
"07","07:13.133","08:08.567","channel-explanation","작은 게임 하나가 생각보다 만만하지 않다","original-motion-canvas","full-balanced-v5-tts","continuous-selected-not-acquired","measured-tts-v5"
"07","07:13.133","07:15.133","meme-overlay","자체 밈 연출 (설명 구간과 겹침)","sources/MEMES.md","no-borrowed-meme-audio","continuous-selected-not-acquired","overlays-explanation-do-not-add-duration"
"08","08:08.567","08:28.067","real-example","実践Pytest入門 — fujine, PyCon JP 2024","https://www.youtube.com/watch?v=y95kjwHa-w8 @ 1550s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
"08","08:28.067","09:23.600","channel-explanation","왜 하필 거길 눌러? 그게 테스트입니다","original-motion-canvas","full-balanced-v5-tts","continuous-selected-not-acquired","measured-tts-v5"
"08","08:28.067","08:30.067","meme-overlay","자체 밈 연출 (설명 구간과 겹침)","sources/MEMES.md","no-borrowed-meme-audio","continuous-selected-not-acquired","overlays-explanation-do-not-add-duration"
"09","09:23.600","09:43.100","real-example","Make Your 2D Games 2X Faster Instantly in Godot","https://www.youtube.com/watch?v=lfuGLaZ3khs @ 186s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
"09","09:43.100","10:51.033","channel-explanation","월급보다 먼저 나가는 AI 사용료","original-motion-canvas","full-balanced-v5-tts","continuous-selected-not-acquired","measured-tts-v5"
"09","09:43.100","09:45.100","meme-overlay","자체 밈 연출 (설명 구간과 겹침)","sources/MEMES.md","no-borrowed-meme-audio","continuous-selected-not-acquired","overlays-explanation-do-not-add-duration"
"10","10:51.033","11:10.533","real-example","Code Your First Complete 2D Game with Godot","https://www.youtube.com/watch?v=WEt2JHEe-do @ 3555s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
"10","11:10.533","12:22.267","channel-explanation","거의 다 됐는데, 왜 일이 안 끝날까?","original-motion-canvas","full-balanced-v5-tts","continuous-selected-not-acquired","measured-tts-v5"
"10","11:10.533","11:12.533","meme-overlay","자체 밈 연출 (설명 구간과 겹침)","sources/MEMES.md","no-borrowed-meme-audio","continuous-selected-not-acquired","overlays-explanation-do-not-add-duration"
"11","12:22.267","12:41.767","real-example","Python開発環境の整え方ライブデモ — PyCon JP","https://www.youtube.com/watch?v=Wy3Lixh1vwk @ 1100s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
"11","12:41.767","13:46.500","channel-explanation","선배님은 이미 취업하셨잖아요","original-motion-canvas","full-balanced-v5-tts","continuous-selected-not-acquired","measured-tts-v5"
"11","12:41.767","12:43.767","meme-overlay","자체 밈 연출 (설명 구간과 겹침)","sources/MEMES.md","no-borrowed-meme-audio","continuous-selected-not-acquired","overlays-explanation-do-not-add-duration"
"12","13:46.500","14:06.000","real-example","Your First 2D GAME From Zero in Godot 4 — Vampire Survivor Style","https://www.youtube.com/watch?v=GwCiGixlqiU @ 7472s","retained-in-narration-source-mix","continuous-selected-not-acquired","measured-tts-v5"
"12","14:06.000","15:06.733","channel-explanation","내가 끝낸 작은 일은 남습니다","original-motion-canvas","full-balanced-v5-tts","continuous-selected-not-acquired","measured-tts-v5"
"12","14:06.000","14:08.000","meme-overlay","자체 밈 연출 (설명 구간과 겹침)","sources/MEMES.md","no-borrowed-meme-audio","continuous-selected-not-acquired","overlays-explanation-do-not-add-duration"
