"scene","start","end","segment_type","visual","source","narration","source_audio","bgm","status"
"04","03:57.167","05:07.600","channel-explanation","기초가 중요하다는데, 그걸 언제 다 해요?","original Motion Canvas","balanced-v6 continuous","none","Blue Dream - Cheel / continuous","measured TTS"
"04","03:57.167","03:59.167","meme-overlay","original reinterpretation","sources/MEMES.md","continues under overlay","no borrowed meme audio","Blue Dream - Cheel / continuous","overlay; no additional duration"
"05","05:07.600","05:27.100","real-example","Pythonで実現する堅牢なシステム設計 イミュータブルがもたらす恩恵 — PyCon JP","https://www.youtube.com/watch?v=GZEW9SPf6C8 @ 1258s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
"05","05:27.100","06:30.567","channel-explanation","포트폴리오는 멋진데, 왜 이 기술을 썼죠?","original Motion Canvas","balanced-v6 continuous","none","Blue Dream - Cheel / continuous","measured TTS"
"05","05:27.100","05:29.100","meme-overlay","original reinterpretation","sources/MEMES.md","continues under overlay","no borrowed meme audio","Blue Dream - Cheel / continuous","overlay; no additional duration"
"06","06:30.567","06:32.567","real-example","Learn GDScript from Zero with this Free app","https://www.youtube.com/watch?v=ClU1WqQfCZM @ 40s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
"06","06:32.567","06:50.067","real-example","Learn GDScript from Zero with this Free app","https://www.youtube.com/watch?v=ClU1WqQfCZM @ 47s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
"06","06:50.067","08:03.767","channel-explanation","시험장에서는 왜 첫 줄부터 안 나올까?","original Motion Canvas","balanced-v6 continuous","none","Blue Dream - Cheel / continuous","measured TTS"
"06","06:50.067","06:52.067","meme-overlay","original reinterpretation","sources/MEMES.md","continues under overlay","no borrowed meme audio","Blue Dream - Cheel / continuous","overlay; no additional duration"
"07","08:03.767","08:10.267","real-example","Professional Tetris Gameplay","https://www.youtube.com/watch?v=lt1Lal2gh_E @ 54s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
"07","08:10.267","08:16.767","real-example","Professional Tetris Gameplay","https://www.youtube.com/watch?v=lt1Lal2gh_E @ 84s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
"07","08:16.767","08:23.267","real-example","Professional Tetris Gameplay","https://www.youtube.com/watch?v=lt1Lal2gh_E @ 320s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
"07","08:23.267","09:42.233","channel-explanation","작은 게임 하나가 생각보다 만만하지 않다","original Motion Canvas","balanced-v6 continuous","none","Blue Dream - Cheel / continuous","measured TTS"
"07","08:23.267","08:25.267","meme-overlay","original reinterpretation","sources/MEMES.md","continues under overlay","no borrowed meme audio","Blue Dream - Cheel / continuous","overlay; no additional duration"
"08","09:42.233","10:01.733","real-example","実践Pytest入門 — fujine, PyCon JP 2024","https://www.youtube.com/watch?v=y95kjwHa-w8 @ 1550s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
"08","10:01.733","11:08.067","channel-explanation","왜 하필 거길 눌러? 그게 테스트입니다","original Motion Canvas","balanced-v6 continuous","none","Blue Dream - Cheel / continuous","measured TTS"
"08","10:01.733","10:03.733","meme-overlay","original reinterpretation","sources/MEMES.md","continues under overlay","no borrowed meme audio","Blue Dream - Cheel / continuous","overlay; no additional duration"
"09","11:08.067","11:27.567","real-example","Make Your 2D Games 2X Faster Instantly in Godot","https://www.youtube.com/watch?v=lfuGLaZ3khs @ 186s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
"09","11:27.567","12:36.067","channel-explanation","월급보다 먼저 나가는 AI 사용료","original Motion Canvas","balanced-v6 continuous","none","Blue Dream - Cheel / continuous","measured TTS"
"09","11:27.567","11:29.567","meme-overlay","original reinterpretation","sources/MEMES.md","continues under overlay","no borrowed meme audio","Blue Dream - Cheel / continuous","overlay; no additional duration"
"10","12:36.067","12:55.567","real-example","Code Your First Complete 2D Game with Godot","https://www.youtube.com/watch?v=WEt2JHEe-do @ 3555s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
"10","12:55.567","14:30.067","channel-explanation","거의 다 됐는데, 왜 일이 안 끝날까?","original Motion Canvas","balanced-v6 continuous","none","Blue Dream - Cheel / continuous","measured TTS"
"10","12:55.567","12:57.567","meme-overlay","original reinterpretation","sources/MEMES.md","continues under overlay","no borrowed meme audio","Blue Dream - Cheel / continuous","overlay; no additional duration"
"11","14:30.067","14:49.567","real-example","Python開発環境の整え方ライブデモ — PyCon JP","https://www.youtube.com/watch?v=Wy3Lixh1vwk @ 1100s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
"11","14:49.567","16:11.433","channel-explanation","선배님은 이미 취업하셨잖아요","original Motion Canvas","balanced-v6 continuous","none","Blue Dream - Cheel / continuous","measured TTS"
"11","14:49.567","14:51.567","meme-overlay","original reinterpretation","sources/MEMES.md","continues under overlay","no borrowed meme audio","Blue Dream - Cheel / continuous","overlay; no additional duration"
"12","16:11.433","16:30.933","real-example","Your First 2D GAME From Zero in Godot 4 — Vampire Survivor Style","https://www.youtube.com/watch?v=GwCiGixlqiU @ 7472s","balanced-v6 continuous","-31 LUFS before narration ducking","Blue Dream - Cheel / continuous","measured TTS"
"12","16:30.933","17:36.567","channel-explanation","내가 끝낸 작은 일은 남습니다","original Motion Canvas","balanced-v6 continuous","none","Blue Dream - Cheel / continuous","measured TTS"
"12","16:30.933","16:32.933","meme-overlay","original reinterpretation","sources/MEMES.md","continues under overlay","no borrowed meme audio","Blue Dream - Cheel / continuous","overlay; no additional duration"
